vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,Trace Mean Length (Mauldon)
465994.02151642326,6691606.118339248,465998.02151642326,6691606.118339248,465998.02151642326,6691602.118339248,465994.02151642326,6691602.118339248,112.91574565917047,0.04870888438005295,0.013284241194559895,1.1540002385497736,0.09652367346194347,1.4462979985720676,1.8181818181818181,4.0,0.02656848238911979,0.06486642748886,0.071353070237746,,0.05621006419407445,,0.05621006419407445,5.5,9,1.5,5,1.269400262404751,0.09652367346194347,3.2830123161580915,
465994.02151642326,6691602.118339248,465998.02151642326,6691602.118339248,465998.02151642326,6691598.118339248,465994.02151642326,6691598.118339248,112.91574565917047,0.3232498690676241,0.09298968836191926,1.0653950394700396,0.0704798230759776,4.041738119967653,1.917808219178082,4.190476190476191,0.1948355375202118,0.36691012664170597,0.7877776248483688,,0.3443888070139865,,0.3443888070139865,36.5,43,10.5,17,2.2874658200386144,0.0704798230759776,6.809063957349836,
465994.02151642326,6691598.118339248,465998.02151642326,6691598.118339248,465998.02151642326,6691594.118339248,465994.02151642326,6691594.118339248,112.91574565917047,0.39852723583679683,0.11513009035285242,1.2034450393624723,0.11437563608924892,4.409081616030242,1.8666666666666667,4.0,0.23026018070570484,0.5771790102790099,1.2986527731277722,,0.4796056250186313,,0.4796056250186313,45.0,52,13.0,20,2.7077513385655627,0.14963724624059996,6.809063957349836,
465994.02151642326,6691594.118339248,465998.02151642326,6691594.118339248,465998.02151642326,6691590.118339248,465994.02151642326,6691590.118339248,112.91574565917047,0.2214040199093316,0.061993125574612847,1.2908660756669985,0.11437563608924892,4.409081616030242,1.92,4.285714285714286,0.13284241194559895,0.36893331739969465,0.7094871488455666,,0.2858029383172569,,0.2858029383172569,25.0,31,7.0,13,2.482434760898074,0.17817454437944072,6.485907283602886,
465994.02151642326,6691590.118339248,465998.02151642326,6691590.118339248,465998.02151642326,6691586.118339248,465994.02151642326,6691586.118339248,112.91574565917047,0.0,0.0,0.0,3.296061262723216,3.296061262723216,0.0,0.0,0.0,0.0,0.09621350666555367,,0.0291904485373739,,0.0291904485373739,0.0,1,0.0,1,3.296061262723216,3.296061262723216,3.296061262723216,
465994.02151642326,6691586.118339248,465998.02151642326,6691586.118339248,465998.02151642326,6691582.118339248,465994.02151642326,6691582.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465994.02151642326,6691582.118339248,465998.02151642326,6691582.118339248,465998.02151642326,6691578.118339248,465994.02151642326,6691578.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465994.02151642326,6691578.118339248,465998.02151642326,6691578.118339248,465998.02151642326,6691574.118339248,465994.02151642326,6691574.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465994.02151642326,6691574.118339248,465998.02151642326,6691574.118339248,465998.02151642326,6691570.118339248,465994.02151642326,6691570.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465994.02151642326,6691570.118339248,465998.02151642326,6691570.118339248,465998.02151642326,6691566.118339248,465994.02151642326,6691566.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465994.02151642326,6691566.118339248,465998.02151642326,6691566.118339248,465998.02151642326,6691562.118339248,465994.02151642326,6691562.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465998.02151642326,6691606.118339248,466002.02151642326,6691606.118339248,466002.02151642326,6691602.118339248,465998.02151642326,6691602.118339248,112.91574565917047,0.084133527565546,0.03985272358367969,1.140263875463195,0.07481764253189903,2.42029296755833,1.5789473684210527,2.2222222222222223,0.04428080398186632,0.10939055604613203,0.09447366203984131,,0.09593442219827904,,0.09593442219827904,9.5,16,4.5,11,0.9847733469909413,0.11966163467672412,2.80310682987804,
465998.02151642326,6691602.118339248,466002.02151642326,6691602.118339248,466002.02151642326,6691598.118339248,465998.02151642326,6691598.118339248,112.91574565917047,0.49594500459690277,0.15941089433471875,1.1120986510778514,0.05464770053231399,4.041738119967653,1.7857142857142858,3.4444444444444446,0.27454098468757115,0.6133666349234178,1.2267332698468356,,0.5515397706210144,,0.5515397706210144,56.0,66,18.0,28,2.224197302155703,0.14963724624059996,5.995842721230456,
465998.02151642326,6691598.118339248,466002.02151642326,6691598.118339248,466002.02151642326,6691594.118339248,465998.02151642326,6691594.118339248,112.91574565917047,0.7129209441080477,0.2346882611038915,1.0150855485953658,0.011945343618646253,4.409081616030242,1.763975155279503,3.3207547169811322,0.3896710750404236,0.7345927933135816,1.5561768384669294,,0.7236757476550437,,0.7236757476550437,80.5,92,26.5,38,2.1503785963664988,0.03625886450670078,6.741269577996782,
465998.02151642326,6691594.118339248,466002.02151642326,6691594.118339248,466002.02151642326,6691590.118339248,465998.02151642326,6691590.118339248,112.91574565917047,0.6155031753479419,0.19926361791839842,0.9590747275967633,0.01771142904589176,4.409081616030242,1.7697841726618706,3.3777777777777778,0.336534110262184,0.5661547977944659,1.0354673275451414,,0.5903135402317701,,0.5903135402317701,69.5,85,22.5,38,1.754097199157238,0.06544733446528915,5.316258815213831,
465998.02151642326,6691590.118339248,466002.02151642326,6691590.118339248,466002.02151642326,6691586.118339248,465998.02151642326,6691586.118339248,112.91574565917047,0.21254785911295832,0.07970544716735938,1.086128389105996,0.09873032188684658,3.296061262723216,1.7083333333333333,2.888888888888889,0.11513009035285242,0.2507373696878943,0.33431649291719234,,0.23085426382628566,,0.23085426382628566,24.0,33,9.0,18,1.4481711854746615,0.24456977888684778,3.541987333488706,
465998.02151642326,6691586.118339248,466002.02151642326,6691586.118339248,466002.02151642326,6691582.118339248,465998.02151642326,6691582.118339248,112.91574565917047,0.10627392955647916,0.04428080398186632,1.203417888191413,0.06998153150980864,2.9007305253247715,1.5833333333333333,2.4,0.05313696477823958,0.15390745783041782,0.16789904490591032,,0.12789194787666114,,0.12789194787666114,12.0,18,5.0,11,1.3128195143906323,0.2699122858755243,3.887754647673623,
465998.02151642326,6691582.118339248,466002.02151642326,6691582.118339248,466002.02151642326,6691578.118339248,465998.02151642326,6691578.118339248,112.91574565917047,0.01771232159274653,0.008856160796373264,2.423635744773968,0.22287956899332415,1.6065673869152035,1.5,2.0,0.008856160796373264,0.10404235811498637,0.052021179057493185,,0.04292821573511226,,0.04292821573511226,2.0,5,1.0,4,1.211817872386984,0.22287956899332415,2.1917017683736977,
465998.02151642326,6691578.118339248,466002.02151642326,6691578.118339248,466002.02151642326,6691574.118339248,465998.02151642326,6691574.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465998.02151642326,6691574.118339248,466002.02151642326,6691574.118339248,466002.02151642326,6691570.118339248,465998.02151642326,6691570.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465998.02151642326,6691570.118339248,466002.02151642326,6691570.118339248,466002.02151642326,6691566.118339248,465998.02151642326,6691566.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
465998.02151642326,6691566.118339248,466002.02151642326,6691566.118339248,466002.02151642326,6691562.118339248,465998.02151642326,6691562.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466002.02151642326,6691606.118339248,466006.02151642326,6691606.118339248,466006.02151642326,6691602.118339248,466002.02151642326,6691602.118339248,112.91574565917047,0.2258321003075182,0.084133527565546,0.674600718129212,0.08802729717513263,2.512990909145598,1.803921568627451,3.1578947368421053,0.13284241194559895,0.10277305631040626,0.20159330276272,,0.15234649704408004,,0.15234649704408004,25.5,29,9.5,13,1.3232552547919159,0.08802729717513263,3.3295620914948314,
466002.02151642326,6691602.118339248,466006.02151642326,6691602.118339248,466006.02151642326,6691598.118339248,466002.02151642326,6691598.118339248,112.91574565917047,0.4649484418095963,0.1815512963256519,1.0315921851834218,0.037457212798442496,2.9829389872003347,1.638095238095238,2.6341463414634148,0.2391163415020781,0.49478996566646394,0.865882439916312,,0.47963717908398856,,0.47963717908398856,52.5,62,20.5,30,1.8052863240709882,0.037457212798442496,6.207237194055836,
466002.02151642326,6691598.118339248,466006.02151642326,6691598.118339248,466006.02151642326,6691594.118339248,466002.02151642326,6691594.118339248,112.91574565917047,1.2221501898995104,0.38081491424405034,0.7517349242588182,0.014082909906182826,3.590330972961397,1.7753623188405796,3.488372093023256,0.6642120597279948,0.690643667462893,1.6720846685943724,,0.9187329804370087,,0.9187329804370087,138.0,152,43.0,57,1.8199898166266124,0.014082909906182826,8.493087557950622,
466002.02151642326,6691594.118339248,466006.02151642326,6691594.118339248,466006.02151642326,6691590.118339248,466002.02151642326,6691590.118339248,112.91574565917047,1.310711797863243,0.3896710750404236,0.7050791809220417,0.016897140829226196,3.590330972961397,1.7972972972972974,3.6818181818181817,0.7173490245062344,0.651602874100488,1.6345292435063088,,0.924155600862272,,0.924155600862272,148.0,163,44.0,59,1.7686731996010536,0.09849529699216127,7.499353289023844,
466002.02151642326,6691590.118339248,466006.02151642326,6691590.118339248,466006.02151642326,6691586.118339248,466002.02151642326,6691586.118339248,112.91574565917047,1.6029651041435606,0.48708884380052947,0.5711120851347135,0.016897140829226196,3.126982178467942,1.8342541436464088,3.7454545454545456,0.9121845620264462,0.522837547153353,1.3916705299228953,,0.915472743025612,,0.915472743025612,181.0,194,55.0,68,1.5201659913144578,0.07803944580373272,6.985224156864618,
466002.02151642326,6691586.118339248,466006.02151642326,6691586.118339248,466006.02151642326,6691582.118339248,466002.02151642326,6691582.118339248,112.91574565917047,1.1601570643248975,0.35424643185493054,0.6185034110936212,0.021771984976963175,2.9007305253247715,1.8091603053435115,3.65,0.6464997381352482,0.44381398906293557,1.139992795436168,,0.7175611016893109,,0.7175611016893109,131.0,142,40.0,51,1.5887048402600858,0.07803944580373272,9.406103197368232,
466002.02151642326,6691582.118339248,466006.02151642326,6691582.118339248,466006.02151642326,6691578.118339248,466002.02151642326,6691578.118339248,112.91574565917047,0.6819243813207413,0.21254785911295832,0.6982880209604965,0.022049500365280486,2.9007305253247715,1.7792207792207793,3.5,0.37195875344767704,0.33251052913411006,0.7112030762035132,,0.4761796266771714,,0.4761796266771714,77.0,89,24.0,36,1.4935604892766174,0.033234991269441655,5.5448080072343355,
466002.02151642326,6691578.118339248,466006.02151642326,6691578.118339248,466006.02151642326,6691574.118339248,466002.02151642326,6691574.118339248,112.91574565917047,0.14169857274197223,0.04428080398186632,0.8689041165310111,0.07296473153547182,2.5564613560577913,1.9375,4.0,0.08856160796373264,0.10698162376800031,0.14264216502400043,,0.12312247316206858,,0.12312247316206858,16.0,23,5.0,12,1.1585388220413482,0.23569457183435524,4.861171890263914,
466002.02151642326,6691574.118339248,466006.02151642326,6691574.118339248,466006.02151642326,6691570.118339248,466002.02151642326,6691570.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
