vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,Trace Mean Length (Mauldon)
14588402.02,4555166.66,14589152.02,4555166.66,14589152.02,4554416.66,14588402.02,4554416.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4554416.66,14589152.02,4554416.66,14589152.02,4553666.66,14588402.02,4553666.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4553666.66,14589152.02,4553666.66,14589152.02,4552916.66,14588402.02,4552916.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4552916.66,14589152.02,4552916.66,14589152.02,4552166.66,14588402.02,4552166.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4552166.66,14589152.02,4552166.66,14589152.02,4551416.66,14588402.02,4551416.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4551416.66,14589152.02,4551416.66,14589152.02,4550666.66,14588402.02,4550666.66,3969694.1833468685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
14588402.02,4550666.66,14589152.02,4550666.66,14589152.02,4549916.66,14588402.02,4549916.66,3969694.1833468685,3.7786286064367375e-07,3.7786286064367375e-07,901.4183946096558,174.20392822284825,601.456530248049,0.0,0.0,0.0,0.3070344028827354,0.1535172014413677,,0.0003406125332240325,,0.0003406125332240325,1.5,3,1.5,3,450.7091973048279,174.20392822284825,601.456530248049,
14588402.02,4549916.66,14589152.02,4549916.66,14589152.02,4549166.66,14588402.02,4549166.66,3969694.1833468685,5.038171475248984e-07,5.038171475248984e-07,1462.7849434598809,333.7712407721802,937.3006620798044,0.0,0.0,0.0,1.0780375978528915,0.5390187989264458,,0.0007369761376563268,,0.0007369761376563268,2.0,4,2.0,4,731.3924717299404,333.7712407721802,937.3006620798044,
14588402.02,4549166.66,14589152.02,4549166.66,14589152.02,4548416.66,14588402.02,4548416.66,3969694.1833468685,5.038171475248984e-07,5.038171475248984e-07,1322.9914597752854,463.4187004382104,1107.629791026209,0.0,0.0,0.0,0.8818343790718149,0.5878895860478766,,0.0006665457834637855,,0.0006665457834637855,2.0,3,2.0,3,881.9943065168569,463.4187004382104,1107.629791026209,
14588402.02,4548416.66,14589152.02,4548416.66,14589152.02,4547666.66,14588402.02,4547666.66,3969694.1833468685,3.7786286064367375e-07,3.7786286064367375e-07,1605.998699662762,481.9535992458836,1118.1039530922246,0.0,0.0,0.0,0.9745959150223202,0.4872979575111601,,0.0006068472628445915,,0.0006068472628445915,1.5,3,1.5,3,802.999349831381,481.9535992458836,1118.1039530922246,
14588402.02,4547666.66,14589152.02,4547666.66,14589152.02,4546916.66,14588402.02,4546916.66,3969694.1833468685,2.519085737624492e-07,2.519085737624492e-07,2044.0974207370296,130.73351887032064,1241.2153508664856,0.0,0.0,0.0,1.0525582255157506,0.26313955637893766,,0.0005149256658893661,,0.0005149256658893661,1.0,4,1.0,4,511.0243551842574,130.73351887032064,1241.2153508664856,
14588402.02,4546916.66,14589152.02,4546916.66,14589152.02,4546166.66,14588402.02,4546166.66,3969694.1833468685,1.0076342950497967e-06,5.038171475248984e-07,776.6479356037239,186.218438243989,1677.8501156555062,1.0,1.0,2.519085737624492e-07,0.6077868853554662,0.8103825138072883,,0.0007825770950939382,,0.0007825770950939382,4.0,5,2.0,3,1035.5305808049652,388.5569033123982,1677.8501156555062,
14588402.02,4546166.66,14589152.02,4546166.66,14589152.02,4545416.66,14588402.02,4545416.66,3969694.1833468685,1.3854971556934704e-06,8.81680008168572e-07,594.976911975007,186.218438243989,1154.431025441221,0.7272727272727273,0.5714285714285714,2.519085737624492e-07,0.4904625650953092,0.5395088216048401,,0.0008243388192446565,,0.0008243388192446565,5.5,7,3.5,5,654.4746031725077,223.88647627972864,1154.431025441221,
14588402.02,4545416.66,14589152.02,4545416.66,14589152.02,4544666.66,14588402.02,4544666.66,3969694.1833468685,1.511451442574695e-06,1.0076342950497967e-06,405.997371710602,13.565241075506751,807.1603598267594,0.6666666666666666,0.5,2.519085737624492e-07,0.2491383843028601,0.2491383843028601,,0.0006136453131535241,,0.0006136453131535241,6.0,8,4.0,6,405.997371710602,95.96468159097867,822.4287177693194,
14588402.02,4544666.66,14589152.02,4544666.66,14589152.02,4543916.66,14588402.02,4543916.66,3969694.1833468685,8.81680008168572e-07,8.81680008168572e-07,655.7016616370066,223.88647627972864,898.2135710559979,0.0,0.0,0.0,0.37907361934078526,0.3316894169231871,,0.0005781190463882622,,0.0005781190463882622,3.5,4,3.5,4,573.7389539323808,223.88647627972864,898.2135710559979,
14588402.02,4543916.66,14589152.02,4543916.66,14589152.02,4543166.66,14588402.02,4543166.66,3969694.1833468685,5.038171475248984e-07,5.038171475248984e-07,759.9104513168129,245.67950324986452,707.5418810115973,0.0,0.0,0.0,0.2909362118840397,0.1939574745893598,,0.00038285591595679477,,0.00038285591595679477,2.0,3,2.0,3,506.60696754454193,245.67950324986452,707.5418810115973,
14588402.02,4543166.66,14589152.02,4543166.66,14589152.02,4542416.66,14588402.02,4542416.66,3969694.1833468685,1.3854971556934704e-06,8.81680008168572e-07,484.57835900064015,55.79281637592384,747.1546121822214,0.7272727272727273,0.5714285714285714,2.519085737624492e-07,0.32533715783007305,0.2982257280109003,,0.0006713819381059963,,0.0006713819381059963,5.5,8,3.5,6,444.19682908392014,166.10385011157547,747.1546121822214,
14588402.02,4542416.66,14589152.02,4542416.66,14589152.02,4541666.66,14588402.02,4541666.66,3969694.1833468685,7.557257212873475e-07,7.557257212873475e-07,849.948966249069,45.177861755351984,993.9252532234593,0.0,0.0,0.0,0.5459462708173588,0.32756776249041525,,0.000642328295576013,,0.000642328295576013,3.0,5,3.0,5,509.9693797494414,45.177861755351984,993.9252532234593,
